delta_mass_r2	counts	scans	cluster	precmz	name	delta_mass	delta_MF_final	delta_MF_unique_combination	mass_defect	scaled_counts
264.21	10	26174	28043	426.3244	"Candidate Carnitine (delta mass 264.2119; sirius atomic difference: 13C, 24H, 6N; literature atomic difference: 17C, 28H, 2O)"	264.2119	C13H24N6	CHN	0.000492583	21.2583746
264.25	2	26904	28775	426.36154	"Candidate Carnitine (delta mass 264.249; sirius atomic difference: 17C, 32H, 2N; literature atomic difference: 18C, 32H, 1O)"	264.249	C17H32N2	CHN	0.000586357	20.1398194
266.22	11	27137	29017	428.32901	"Candidate Carnitine (delta mass 266.2165; sirius atomic difference: 19C, 26H, 2N, -1O; literature atomic difference: 17C, 30H, 2O)"	266.2165	C19H26N2O-1	CHNO	0.000513624	21.398194
269.11	253	27693	29589	431.2179	"Candidate Carnitine (delta mass 269.1054; sirius atomic difference: 16C, 15H, 1N, 3O; buddy atomic difference: 16C, 15H, 1N, 3O; literature atomic difference: 13C, 19H, 1N, 3O, 1S)"	269.1054	C16H15NO3	CHNO	0.000255091	55.23448879
271.12	1650	27732	29642	433.23679	"Candidate Carnitine (delta mass 271.1243; literature atomic difference: 13C, 21H, 1N, 3O, 1S)"	271.1243	C13H21NO3S	CHNOS	0.000276985	250.5621905
271.13	24	27745	29655	433.23761	"Candidate Carnitine (delta mass 271.1251; literature atomic difference: 13C, 21H, 1N, 3O, 1S)"	271.1251	C13H21NO3S	CHNOS	0.000300066	23.2158462
273.14	293	27810	29742	435.25269	"Candidate Carnitine (delta mass 273.1402; literature atomic difference: 13C, 23H, 1N, 3O, 1S)"	273.1402	C13H23NO3S	CHNOS	0.000321652	60.82726478
273.15	2	27828	29760	435.259	"Candidate Carnitine (delta mass 273.1465; sirius atomic difference: 15C, 19H, 3N, 2O; literature atomic difference: 13C, 23H, 1N, 3O, 1S)"	273.1465	C15H19N3O2	CHNO	0.000344622	20.1398194
278.12	91	27963	29946	440.23151	"Candidate Carnitine (delta mass 278.119; literature atomic difference: 12C, 22H, 5O, 1S)"	278.119	C12H22O5S	CHOS	0.000272584	32.58374599
280.24	2	28350	30343	442.35077	"Candidate Carnitine (delta mass 280.2383; sirius atomic difference: 13C, 28H, 1B, 5N, 1O; literature atomic difference: 18C, 32H, 2O)"	280.2383	C13H28BN5O	unclassified	0.000542556	20.1398194
282.2	15	28802	30809	444.30786	"Candidate Carnitine (delta mass 282.1954; sirius atomic difference: 15C, 26H, 2N, 3O; literature atomic difference: 20C, 26H, 1O)"	282.1954	C15H26N2O3	CHNO	0.000450138	21.9574716
287.12	327	29652	31693	449.23157	"Candidate Carnitine (delta mass 287.1191; sirius atomic difference: 13C, 21H, 1N, 4O, 1S; literature atomic difference: 13C, 21H, 1N, 4O, 1S)"	287.1191	C13H21NO4S	CHNOS	0.000267123	65.58112438
288.21	2	29694	31747	450.32202	"Candidate Carnitine (delta mass 288.2095; sirius atomic difference: 14C, 28H, 2N, 4O; literature atomic difference: 19C, 28H, 2O)"	288.2095	C14H28N2O4	CHNO	0.000466333	20.1398194
289.1	43	29872	31927	451.21561	"Candidate Carnitine (delta mass 289.1031; literature atomic difference: 12C, 19H, 1N, 5O, 1S)"	289.1031	C12H19NO5S	CHNOS	0.000221624	25.8724148
290.26	2	29988	32054	452.37094	"Candidate Carnitine (delta mass 290.2584; sirius atomic difference: 19C, 34H, 1B, 2O; literature atomic difference: 20C, 34H, 1O)"	290.2584	C19H34BO2	unclassified	0.00057475	20.1398194
291.11	12	30099	32168	453.22571	"Candidate Carnitine (delta mass 291.1132; sirius atomic difference: 15C, 17H, 1N, 5O; literature atomic difference: 12C, 21H, 1N, 5O, 1S)"	291.1132	C15H17NO5	CHNO	0.000242705	21.5380134
291.12	4	30103	32173	453.23062	"Candidate Carnitine (delta mass 291.1181; sirius atomic difference: 10C, 13H, 9N, 2O; literature atomic difference: 12C, 21H, 1N, 5O, 1S)"	291.1181	C10H13N9O2	CHNO	0.000264766	20.4194582
