putative explanation	delta_mass_r2	precmz	mass_defect	counts
CAR C18:5	256.18	418.2962	0.00043031708153219375	28
CAR C18:5;O2	288.17	450.28564	0.000377538133350235	17
CAR C18:6	254.17	416.28006	0.00040837891682822254	6
CAR C19:0	280.28	442.38992	0.0006329258134994864	530
CAR C19:0;O	296.27	458.38437	0.0005890253195151087	33
CAR C19:0;O3	328.26	490.37402	0.000530207534240886	165
CAR C19:1	278.26	440.37311	0.0005904084379720436	49
CAR C19:1;O	294.26	456.36838	0.0005697151936775088	10
CAR C19:1;O2	310.25	472.36371	0.0005292531892426706	85
CAR C19:2	276.245	438.357345	0.0005589047396384798	24
CAR C19:2;O	292.24	454.35303	0.0005282236150158592	95
CAR C19:2;O2	308.235	470.34787	0.0004996301868096024	1002
CAR C19:3	274.23	436.34186	0.0005271096383006164	80
CAR C19:3;O	290.225	452.33679	0.000497416961374815	16
CAR C19:3;O2	306.22	468.3306	0.0004697536313023904	28
CAR C19:3;O3	322.21	484.32507	0.0004335930824311439	2
CAR C19:4;O	288.21	450.31918	0.000466335899794407	7
CAR C19:4;O2	304.205	466.31386	0.00043961798310176243	2751
CAR C19:5;O	286.19	448.30487	0.0004238187285362252	2
CAR C19:6	268.18	430.29279	0.0004183198142827511	8
CAR C20:0	294.29	456.40668	0.000635398237379042	2898
CAR C20:0;O	310.29	472.39941	0.0006138873035426112	225
CAR C20:0;O2	326.28	488.39389	0.0005733077455165803	11
